cost,displays,clicks,post_click_conversions,post_click_sales_amount,revenue
-0.14825156997098762,0.15547293046593577,-0.17619667965448543,-0.17191214141524733,-0.14875281606185764,-0.1678906793164181
-0.24449899751922585,-0.34347256072233234,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.18507530296570138
-0.23426978107558957,-0.32557928046672974,-0.18287575790809255,-0.19073264827308967,-0.19549558544730727,-0.1706371504175089
0.2781783408016664,0.1481839165547068,0.009481695795792396,0.058639067593321416,0.045249589804965636,0.1411185178313754
-0.24432968331755778,-0.34272322284360784,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2450926966679322,-0.34567515994161335,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
1.5033732851295392,1.2015486091653003,0.2232121999112201,0.25625438960066604,0.19113234592940725,0.4582157399312453
-0.2448112392937307,-0.34531184460647424,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2436172443391102,-0.33809095232058384,-0.2149353335254067,-0.19073264827308967,-0.19549558544730727,-0.17838557447365896
-0.23437312870517918,-0.30144151788842327,-0.20692043962107817,-0.1813223948441685,-0.17498749497423635,-0.16692199844761624
-0.24495196798083146,-0.3454935022740438,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.05955071826852751,-0.15152852772663625,-0.08936866235759292,-0.13897625441402323,-0.11034635452464381,-0.13227656969754337
-0.22364696408521834,-0.3110920814780566,-0.15883107619510692,-0.153091634557405,-0.13320835617447224,-0.09748998153892281
-0.24420874460208056,-0.34326819584631657,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.22849110936151473,-0.32201424874067697,-0.1975697300660282,-0.19073264827308967,-0.19549558544730727,-0.1531200861321532
-0.043490056853153596,2.3100464038832578,0.3380923458732625,-0.1766172681297079,-0.17473161005806767,0.03790337203786778
-0.00010824016860922938,0.4166739492225302,-0.08669703105615008,-0.153091634557405,-0.1748932311695687,-0.1299617599762143
-0.24169981597736237,-0.26495103391538605,-0.2149353335254067,-0.19073264827308967,-0.19549558544730727,-0.183964439794087
-0.23635872252474147,-0.3129086581537523,-0.20825625527179958,-0.1860275215586291,-0.13283117634430475,-0.18107783217871334
-0.2397889842728224,-0.2794609401125054,-0.209592070922521,-0.19073264827308967,-0.19549558544730727,-0.18189614759058395
-0.21811676645930578,-0.2940616751434095,-0.21092788657324243,-0.1860275215586291,-0.15666258834164717,-0.18217642061914965
-0.2437205919686998,-0.3395669208695866,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24486401255139345,-0.3453345518149204,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24506850892483673,-0.3455616238993824,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.22870000350642994,0.09679750384096492,-0.17218923270232117,-0.19073264827308967,-0.19549558544730727,-0.1662499569156175
-0.2243440108635143,-0.04316972902138818,-0.18153994225737113,-0.19073264827308967,-0.19549558544730727,-0.17036506054306194
-0.24437146214654082,-0.3449712364797813,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.23315494600746328,-0.1967385797430128,-0.1855473892095354,-0.1860275215586291,-0.1905180175449666,-0.17202930951195383
-0.09163466004176422,-0.2325478474626641,-0.10406263451552858,-0.10604036741279911,-0.1576448049168443,-0.020512073638517304
-0.04252914378654375,2.763282284469333,0.45163667618458353,-0.17191214141524733,-0.1265721996626698,0.08134262278275542
-0.2451146855252917,-0.34569786715005957,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
7.720524803810042,4.3975427835505165,1.6017739514557288,3.0934457984203996,3.6725458499122383,2.3914859004756135
0.011774538348460964,0.2438493857385312,-0.07467469019965726,-0.06839935369711442,-0.03505779430649903,0.02391631586046901
-0.24407901034365953,-0.3365014477293501,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.1843255214695749
-0.2005960449152615,-0.23577227106202397,-0.20157717701819247,-0.1860275215586291,-0.19364182647717462,-0.15926358908677196
5.538779382172433,4.367342196317076,1.851571478140635,3.295766247142205,3.1880060164406454,2.769956778465781
-0.24512787883970738,-0.34569786715005957,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.21609599046796837,0.5723091559127587,-0.11608497537202138,-0.19073264827308967,-0.19549558544730727,-0.1436491081340155
-0.2447496704931241,-0.3424507363422535,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.21843560489101843,-0.2426979696381138,-0.15883107619510692,-0.19073264827308967,-0.19549558544730727,-0.1669312044959998
-0.24506850892483673,-0.34560703831627476,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.0033867788009096602,0.19527866687211765,0.4917111457062262,-0.16720701470078675,-0.18063430329901808,0.025234826567845543
2.133446401679933,4.1050512315550645,0.6707104429028969,2.77349718183708,2.8914326188062227,0.5400472811183085
0.10617490187850177,0.43399954926697787,-0.0025406450607004132,0.41152357117786537,0.4456245944230381,-0.012315621894368073
-0.24490359249464058,-0.3293259698603521,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.18025195408625827,-0.19937261592277153,-0.14280128838644984,-0.1813223948441685,-0.17182206580205817,-0.1554308042764229
-0.2412732321445882,-0.3424961507591459,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.185792351845353
-0.23598491194963003,-0.3087759462165446,-0.2149353335254067,-0.19073264827308967,-0.19549558544730727,-0.18404013396968505
-0.06312610647518115,-0.11353936799615007,0.19783170254751306,0.07745957445116376,0.18385366378300272,0.15435681540691254
-0.24451219083364156,-0.3379320018614605,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
